번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000245,2021년,10월,서울,용산구,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),SK에너지,일반,2340.16,2083.03,1943.39,1405.16
A0000981,2021년,10월,서울,양천구,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,일반,,1682.16,1478.68,
A0009738,2021년,10월,서울,강남구,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),현대오일뱅크,셀프,1904.23,1750.42,1541.42,
A0000546,2021년,10월,서울,강서구,현대오일뱅크 양화교셀프주유소,서울 강서구 공항대로 653,현대오일뱅크,셀프,1968.03,1768.03,1563.03,1162.9
A0001176,2021년,10월,서울,강남구,경원주유소,서울 강남구 도산대로 428 (청담동),S-OIL,일반,2230.43,2066.22,1834.83,
A0009222,2021년,10월,서울,동대문구,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,셀프,1819.97,1663.06,1456.29,
A0000744,2021년,10월,서울,서대문구,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,셀프,,1740.26,1541.87,
A0001015,2021년,10월,서울,양천구,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,셀프,,1674.35,1472.42,
A0000206,2021년,10월,서울,용산구,(주)남경주유소,서울 용산구 녹사평대로11길 24,SK에너지,일반,2357.65,2138.65,1967.35,1362.16
A0000178,2021년,10월,서울,서대문구,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,셀프,,1717.16,1514.65,
A0000985,2021년,10월,서울,양천구,목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,셀프,,1733.19,1529.81,
A0000680,2021년,10월,서울,은평구,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,셀프,1924.06,1718.39,1518.39,
A0000547,2021년,10월,서울,강서구,현대오일뱅크(주) 가양주유소,서울 강서구  양천로 391 (가양동),현대오일뱅크,일반,1960.81,1764.03,1564.03,
A0009411,2021년,10월,서울,광진구,대원주유소,서울 광진구 용마산로 122 (중곡동),S-OIL,일반,,1726.94,1523.26,
A0002720,2021년,10월,서울,광진구,동서울주유소,서울 광진구 강변역로 10 (구의동),GS칼텍스,일반,,1765.39,1552.48,1135.48
A0009226,2021년,10월,서울,동대문구,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),SK에너지,일반,,1721.19,1521.19,1200.0
A0001022,2021년,10월,서울,양천구,SK에너지(주) 신평,서울 양천구 목동남로 62,SK에너지,일반,1913.52,1793.52,1583.52,1082.52
A0000225,2021년,10월,서울,용산구,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GS칼텍스,일반,2288.03,2039.16,1880.26,1372.63
A0000134,2021년,10월,서울,서대문구,구도일주유소 두꺼비,서울 서대문구 성산로 312,S-OIL,셀프,,1693.84,1493.84,1100.0
A0009838,2021년,10월,서울,강남구,현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,현대오일뱅크,셀프,1951.42,1752.42,1535.13,
A0000998,2021년,10월,서울,양천구,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),현대오일뱅크,일반,,1754.16,1554.16,1150.0
A0000565,2021년,10월,서울,강서구,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),현대오일뱅크,셀프,,1711.52,1505.71,
A0000925,2021년,10월,서울,용산구,서계주유소,서울 용산구  청파로 367 (청파동),GS칼텍스,일반,2822.81,2533.81,2333.81,1818.71
A0000568,2021년,10월,서울,서대문구,광호주유소,서울 서대문구 연희로 266 (홍은동),SK에너지,일반,,1771.23,1571.23,
A0001171,2021년,10월,서울,강남구,갤러리아주유소,서울 강남구 압구정로 426,SK에너지,일반,2348.52,2168.61,1937.29,1359.6
A0001029,2021년,10월,서울,양천구,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),SK에너지,셀프,,1679.1,1479.1,
A0009834,2021년,10월,서울,광진구,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,셀프,1950.26,1779.94,1579.94,
A0009210,2021년,10월,서울,동대문구,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,셀프,1960.26,1725.42,1525.42,
A0000223,2021년,10월,서울,용산구,동자동주유소,서울 용산구 한강대로104길 6 (동자동),SK에너지,일반,2625.16,2325.16,2125.16,1447.5
A0010229,2021년,10월,서울,강남구,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),현대오일뱅크,일반,1919.23,1765.42,1555.45,1070.0
A0000632,2021년,10월,서울,서대문구,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),S-OIL,셀프,,1731.26,1531.26,1151.61
A0001024,2021년,10월,서울,양천구,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,셀프,,1758.81,1558.61,
A0000501,2021년,10월,서울,강서구,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),현대오일뱅크,일반,,1731.29,1531.29,
A0009211,2021년,10월,서울,동대문구,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),GS칼텍스,셀프,,1704.35,1504.35,
A0000623,2021년,10월,서울,서대문구,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,현대오일뱅크,셀프,,1728.26,1525.68,
A0000944,2021년,10월,서울,양천구,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,셀프,,1697.97,1497.97,
A0000290,2021년,10월,서울,영등포구,현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,현대오일뱅크,셀프,1908.68,1730.61,1530.61,1036.13
A0001225,2021년,10월,서울,강남구,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,GS칼텍스,일반,2172.81,2076.03,1873.45,
A0000173,2021년,10월,서울,마포구,에스에스오토셀프,서울 마포구 서강로 76 (창전동),현대오일뱅크,셀프,2033.45,1750.45,1550.45,
A0000011,2021년,10월,서울,양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GS칼텍스,셀프,,1702.35,1502.35,
A0000433,2021년,10월,서울,영등포구,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),SK에너지,셀프,1956.45,1715.74,1515.74,
A0009229,2021년,10월,서울,동대문구,열린주유소,서울 동대문구 한천로 263 (휘경동),S-OIL,일반,,1695.65,1490.68,
A0009284,2021년,10월,서울,관악구,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,현대오일뱅크,일반,,1717.06,1510.94,1000.0
A0000139,2021년,10월,서울,마포구,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),SK에너지,일반,,1764.1,1564.1,
A0000990,2021년,10월,서울,양천구,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GS칼텍스,셀프,1874.32,1709.32,1505.13,1030.0
A0000410,2021년,10월,서울,영등포구,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),GS칼텍스,셀프,1898.52,1708.52,1504.32,1141.74
A0009357,2021년,10월,서울,광진구,(주)창원CW,서울 광진구 광나루로 460 (화양동),현대오일뱅크,셀프,,1701.58,1494.48,
A0001185,2021년,10월,서울,강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,일반,2028.39,1893.39,1694.29,
A0001008,2021년,10월,서울,양천구,평화주유소,서울 양천구 안양천로 657 (신정동),SK에너지,일반,2133.13,1935.39,1707.39,
A0009233,2021년,10월,서울,동대문구,오동나무주유소,서울 동대문구  한천로 81 (답십리동),S-OIL,일반,,1750.58,1550.58,1285.48
A0000310,2021년,10월,서울,영등포구,영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),현대오일뱅크,셀프,,1732.23,1499.84,
