번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0009645,2020년,01월,서울,강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,일반,,1545.13,1427.06,1150.0
A0000725,2020년,01월,서울,은평구,불광주유소,서울 은평구 연서로 314 (불광동),현대오일뱅크,셀프,,1545.1,1385.1,
A0000833,2020년,01월,서울,구로구,SK구로주유소,서울 구로구 구일로 94 (구로동),SK에너지,일반,,1587.03,1436.71,1210.0
A0000908,2020년,01월,서울,서초구,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,일반,1799.0,1647.0,1497.0,1155.0
A0000812,2020년,01월,서울,구로구,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),SK에너지,일반,,1589.9,1419.9,1088.71
A0009861,2020년,01월,서울,서초구,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),S-OIL,셀프,1738.97,1588.97,1488.97,
A0032712,2020년,01월,서울,구로구,개봉주유소,서울 구로구 고척로 115 (개봉동),현대오일뱅크,셀프,,1575.1,1404.77,1100.0
A0000826,2020년,01월,서울,구로구,JHC에너지,서울 구로구 시흥대로 539,알뜰주유소,일반,,1564.42,1384.42,1100.0
A0000323,2020년,01월,서울,영등포구,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GS칼텍스,셀프,,1570.48,1421.26,
A0000792,2020년,01월,서울,구로구,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,일반,,2064.0,1918.0,1376.0
A0009907,2020년,01월,서울,서초구,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,셀프,1824.42,1697.0,1528.94,
A0000791,2020년,01월,서울,구로구,구인주유소,서울 구로구 경인로 558 (구로동),SK에너지,일반,,1675.0,1531.77,1210.0
A0033149,2020년,01월,서울,구로구,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),S-OIL,셀프,,1544.77,1365.16,
A0009881,2020년,01월,서울,서초구,양재최고주유소,서울 서초구 매헌로 72 (양재동),S-OIL,일반,,1571.39,1417.26,
A0000683,2020년,01월,서울,은평구,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,셀프,1728.06,1595.42,1437.35,
A0000745,2020년,01월,서울,은평구,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,셀프,,1586.0,1428.0,
A0006667,2020년,01월,서울,구로구,근린공원주유소,서울 구로구 고척로 199 (고척동),S-OIL,일반,,1546.9,1384.0,
A0009889,2020년,01월,서울,서초구,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,GS칼텍스,일반,1776.45,1606.1,1460.81,1200.0
A0000346,2020년,01월,서울,영등포구,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),GS칼텍스,일반,,1573.84,1399.0,1095.48
A0009920,2020년,01월,서울,서초구,헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),GS칼텍스,셀프,1776.77,1606.45,1461.1,1200.0
A0009322,2020년,01월,서울,광진구,평안주유소,서울 광진구 천호대로 630 (능동),알뜰주유소,일반,,1541.74,1362.39,
A0000873,2020년,01월,서울,서초구,한독주유소,서울 서초구 방배로 218 (방배동),GS칼텍스,셀프,1763.16,1578.0,1457.03,
A0000444,2020년,01월,서울,영등포구,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,셀프,,1529.0,1359.0,
A0009421,2020년,01월,서울,광진구,현대오일뱅크(주) 중원셀프주유소,서울 광진구 동일로 398 (중곡동),현대오일뱅크,셀프,1792.0,1553.77,1373.77,1200.0
A0000687,2020년,01월,서울,은평구,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SK에너지,셀프,,1586.0,1428.0,990.0
A0000849,2020년,01월,서울,구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,셀프,,1532.03,1362.03,
A0009765,2020년,01월,서울,광진구,현대오일뱅크(주)직영 능동주유소,서울 광진구 천호대로 584 (능동),현대오일뱅크,셀프,1673.0,1541.74,1362.06,1000.0
A0009351,2020년,01월,서울,광진구,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),현대오일뱅크,셀프,1792.0,1553.77,1373.77,
A0011953,2020년,01월,서울,서초구,크로바주유소,서울 서초구 효령로 327 (서초동),SK에너지,일반,1939.0,1689.0,1585.0,
A0009358,2020년,01월,서울,광진구,현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),SK에너지,셀프,,1599.39,1448.35,
A0000680,2020년,01월,서울,은평구,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,셀프,1800.0,1579.0,1419.0,
A0000844,2020년,01월,서울,구로구, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,현대오일뱅크,셀프,1747.42,1564.77,1385.42,
A0000890,2020년,01월,서울,서초구,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,일반,1765.0,1579.0,1434.0,
A0011816,2020년,01월,서울,서초구,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,셀프,,1578.35,1424.1,
A0009330,2020년,01월,서울,광진구,태양주유소,서울 광진구 동일로 345 (중곡동),GS칼텍스,일반,,1541.74,1363.68,
A0011828,2020년,01월,서울,서초구,양재주유소,서울 서초구 바우뫼로 178,SK에너지,일반,1759.0,1575.77,1418.61,
A0000316,2020년,01월,서울,영등포구,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,GS칼텍스,일반,2063.0,1993.0,1820.0,1268.0
A0000648,2020년,01월,서울,구로구,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),현대오일뱅크,일반,1760.0,1611.9,1453.0,
A0000866,2020년,01월,서울,서초구,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),GS칼텍스,셀프,1798.0,1635.0,1498.0,
A0000327,2020년,01월,서울,영등포구,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,SK에너지,셀프,,1599.23,1478.68,1335.97
A0000846,2020년,01월,서울,구로구,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),SK에너지,일반,,1737.9,1599.32,1265.84
A0000686,2020년,01월,서울,은평구,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),SK에너지,일반,1730.94,1600.94,1463.52,1117.13
A0001162,2020년,01월,서울,금천구,(주)명보에너지,경기도 시흥시  수인로 2186 (목감동),알뜰주유소,일반,,1560.68,1380.68,
A0000894,2020년,01월,서울,서초구,방배동주유소,서울 서초구 효령로 29 (방배동),SK에너지,일반,,1621.16,1465.39,1470.0
A0009869,2020년,01월,서울,서초구,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),GS칼텍스,일반,,1586.0,1456.0,1199.0
A0011826,2020년,01월,서울,서초구,만남의광장주유소,서울 서초구 양재대로12길 73-71,알뜰(ex),셀프,,1511.06,1346.0,
A0001164,2020년,01월,서울,금천구,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,현대오일뱅크,셀프,,1563.13,1383.77,1100.0
A0000229,2020년,01월,서울,용산구,현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),SK에너지,일반,2499.0,1999.0,1909.0,
A0001159,2020년,01월,서울,금천구,KH에너지(주)직영시흥대로주유소,서울 금천구 시흥대로 221 (시흥동),SK에너지,일반,,1571.39,1392.68,1100.0
A0009917,2020년,01월,서울,서초구,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),SK에너지,일반,2198.0,1998.0,1798.0,
A0000431,2020년,01월,서울,영등포구,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),SK에너지,일반,1691.9,1591.9,1431.9,1173.0
A0001086,2020년,01월,서울,금천구,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),GS칼텍스,셀프,,1559.19,1378.35,1200.0
A0000856,2020년,01월,서울,구로구,남선석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),SK에너지,셀프,,1549.81,1363.81,
A0000854,2020년,01월,서울,구로구,처음처럼주유소,서울 구로구 오리로 1299 (궁동),S-OIL,일반,,1544.16,1355.45,925.0
A0000780,2020년,01월,서울,구로구,정은주유소,서울 구로구 경인로 407 (고척동),현대오일뱅크,일반,,1585.71,1415.71,1153.23
A0000850,2020년,01월,서울,구로구,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),GS칼텍스,일반,1711.55,1593.84,1369.0,
A0000863,2020년,01월,서울,서초구,신반포주유소,서울 서초구 사평대로 94 (반포동),SK에너지,셀프,1767.35,1578.32,1457.35,1100.0
A0033131,2020년,01월,서울,은평구,뉴타운셀프주유소,서울 은평구 통일로 1031,S-OIL,셀프,,1575.0,1415.0,
A0000350,2020년,01월,서울,구로구,동아주유소,서울 구로구 도림로 91 (구로동),S-OIL,일반,,1791.23,1399.29,1150.0
A0000194,2020년,01월,서울,서초구,선우상사Q엔느,서울 서초구 방배로 66 (방배동),SK에너지,일반,2359.94,2054.94,1868.0,
A0000818,2020년,01월,서울,구로구,서서울고속주유소,서울 구로구 경인로 150 (오류동),GS칼텍스,셀프,,1596.0,1417.0,
A0000707,2020년,01월,서울,은평구,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),현대오일뱅크,셀프,,1512.16,1342.16,
A0000619,2020년,01월,서울,은평구,㈜오일닷컴 다회주유소,서울 은평구 증산로 441,S-OIL,셀프,,1526.42,1376.42,
A0009918,2020년,01월,서울,서초구,서초하이웨이 주유소,서울 서초구 양재대로2길 100-30,S-OIL,셀프,,1598.97,1441.52,
A0000664,2020년,01월,서울,은평구,(주)에스지주유소,서울 은평구 증산로 371 (신사동),현대오일뱅크,셀프,,1598.0,1408.0,
A0000827,2020년,01월,서울,구로구,신성주유소,서울 구로구 구로동로 187 (구로제2동),현대오일뱅크,셀프,,1548.0,1378.0,1200.0
A0000308,2020년,01월,서울,영등포구,SK KH에너지 여의도주유소,서울 영등포구 국회대로 794 (여의도동),SK에너지,일반,2045.0,1979.0,1819.0,
A0000830,2020년,01월,서울,구로구,영진주유소,서울 구로구 구로동로 20 (가리봉동),S-OIL,일반,,1596.1,1407.65,1200.0
A0009890,2020년,01월,서울,서초구,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),GS칼텍스,셀프,1792.19,1598.0,1498.0,
A0032710,2020년,01월,서울,구로구,시몬주유소,서울 구로구 부일로 871,S-OIL,일반,,1546.68,1387.0,
A0005900,2020년,01월,서울,은평구,응암주유소,서울 은평구 응암로 163,SK에너지,셀프,,1526.3,1357.8,
A0000106,2020년,01월,서울,광진구,지에스칼텍스 (주)구의스타주유소,서울 광진구 자양로 103,GS칼텍스,일반,,1577.1,1406.77,1190.0
A0005900,2020년,01월,서울,은평구,응암주유소,서울 은평구 응암로 163,자가상표,셀프,,1609.0,1335.0,
A0009279,2020년,01월,서울,성동구,금호주유소,서울 성동구 금호로 39 (금호동4가),GS칼텍스,일반,,1770.0,1620.0,1320.0
A0000655,2020년,01월,서울,관악구,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),GS칼텍스,일반,,1687.9,1522.03,
A0000086,2020년,01월,서울,성동구,경진주유소,서울 성동구 고산자로 348 (마장동),SK에너지,일반,,1601.55,1439.29,1249.97
A0001144,2020년,01월,서울,관악구,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),SK에너지,일반,1875.94,1620.94,1489.97,1167.0
A0001026,2020년,01월,서울,양천구,현대오일뱅크㈜직영 코리아주유소,서울 양천구 신목로7길 1,SK에너지,일반,1996.74,1826.74,1598.35,
A0010027,2020년,01월,서울,종로구,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),GS칼텍스,일반,2395.0,2198.0,1996.0,1290.0
A0001149,2020년,01월,서울,관악구,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),SK에너지,셀프,1976.0,1588.35,1498.68,
A0001157,2020년,01월,서울,관악구,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),SK에너지,일반,,1634.33,1466.0,
A0009536,2020년,01월,서울,관악구,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),S-OIL,일반,,1616.39,1478.65,
A0000772,2020년,01월,서울,관악구,남현주유소,서울 관악구 남부순환로 2014,현대오일뱅크,셀프,,1571.42,1421.42,
A0009359,2020년,01월,서울,성동구,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),SK에너지,일반,1740.67,1591.67,1414.0,
A0000571,2020년,01월,서울,은평구,타이거주유소,서울 은평구 수색로 188 (증산동),SK에너지,셀프,,1512.81,1342.81,1100.0
A0001145,2020년,01월,서울,관악구,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),SK에너지,셀프,,1599.0,1426.1,
A0009260,2020년,01월,서울,성동구,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),SK에너지,일반,2036.45,1673.55,1505.84,
A0009349,2020년,01월,서울,성동구,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),현대오일뱅크,일반,,1615.0,1462.84,1250.0
A0001155,2020년,01월,서울,관악구,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,셀프,1770.13,1571.42,1421.42,1100.0
A0009433,2020년,01월,서울,종로구,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,SK에너지,일반,2398.0,2198.0,1998.0,1330.0
A0010154,2020년,01월,서울,성동구,동일주유소,서울 성동구 광나루로 254 (성수동2가),현대오일뱅크,일반,2123.0,1823.0,1649.0,1248.0
A0009324,2020년,01월,서울,성동구,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,GS칼텍스,셀프,1741.71,1561.71,1390.74,1180.0
A0001025,2020년,01월,서울,양천구,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),SK에너지,셀프,1919.74,1689.74,1528.63,
A0000546,2020년,01월,서울,강서구,현대오일뱅크 양화교셀프주유소,서울 강서구 공항대로 653,현대오일뱅크,셀프,1719.0,1582.94,1409.16,1100.0
A0000035,2020년,01월,서울,종로구,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),현대오일뱅크,셀프,,1598.0,1458.0,
A0000547,2020년,01월,서울,강서구,현대오일뱅크(주) 가양주유소,서울 강서구  양천로 391 (가양동),현대오일뱅크,일반,1724.0,1582.1,1415.77,
A0009332,2020년,01월,서울,성동구,정호주유소,서울 성동구 고산자로 307 (마장동),자가상표,일반,,1554.45,1364.13,
A0009272,2020년,01월,서울,관악구,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),GS칼텍스,셀프,,1594.0,1408.55,1200.0
A0000558,2020년,01월,서울,강서구,현대오일뱅크㈜직영 에어포트주유소,서울 강서구 개화동로 519 (방화동),SK에너지,일반,,1819.0,1589.0,
A0000519,2020년,01월,서울,강서구,화곡역주유소,서울 강서구 강서로 154 (화곡동),알뜰주유소,셀프,,1520.68,1345.87,
A0000045,2020년,01월,서울,종로구,SK북악주유소,서울 종로구 평창문화로 137,SK에너지,일반,2286.0,1986.0,1886.0,1288.0
A0000526,2020년,01월,서울,강서구,화곡현대주유소,서울 강서구 강서로 151 (화곡동),SK에너지,셀프,1759.0,1558.48,1391.74,
A0009293,2020년,01월,서울,성동구,삼우주유소,서울 성동구 천호대로 392,SK에너지,일반,,1599.0,1450.45,
A0000961,2020년,01월,서울,양천구,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),현대오일뱅크,셀프,,1569.58,1393.71,
A0009284,2020년,01월,서울,관악구,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,알뜰주유소,일반,,1573.35,1386.58,1000.0
A0006095,2020년,01월,서울,성동구,아이콘주유소,서울 성동구 고산자로 273 (도선동),S-OIL,셀프,,1590.76,1390.76,1100.0
A0001005,2020년,01월,서울,양천구,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,셀프,,1523.13,1351.9,
A0001152,2020년,01월,서울,관악구,유림주유소,서울 관악구 신림로 176 (신림동),S-OIL,일반,,1592.68,1407.87,1195.0
A0002243,2020년,01월,서울,성동구,SK KH에너지 성수만세주유소,서울 성동구 왕십리로 109,SK에너지,셀프,1859.0,1619.19,1466.06,
A0009372,2020년,01월,서울,광진구,대성산업(주)구의주유소,서울 광진구 광나루로 570 (구의동),GS칼텍스,일반,,1598.68,1419.97,
A0000631,2020년,01월,서울,은평구,지에스칼텍스㈜ 녹번주유소,서울 은평구 통일로 600 (녹번동),GS칼텍스,셀프,1735.0,1585.0,1424.74,1000.0
A0009411,2020년,01월,서울,광진구,대원주유소,서울 광진구 용마산로 122 (중곡동),S-OIL,일반,,1541.42,1374.87,
A0000911,2020년,01월,서울,서초구,현대오일뱅크㈜직영 반포셀프주유소,서울 서초구 사평대로 12,SK에너지,셀프,1890.35,1641.52,1521.58,
A0002720,2020년,01월,서울,광진구,동서울주유소,서울 광진구 강변역로 10 (구의동),GS칼텍스,일반,,1629.0,1467.16,1150.0
A0000919,2020년,01월,서울,서초구,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),현대오일뱅크,일반,1751.06,1567.35,1427.35,
A0000400,2020년,01월,서울,영등포구,(주)MS에너지,서울 영등포구 대림로 230,현대오일뱅크,일반,,1529.97,1359.97,
A0009834,2020년,01월,서울,광진구,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,셀프,1788.0,1597.77,1419.06,
A0009333,2020년,01월,서울,광진구,용마주유소,서울 광진구 용마산로 68 (중곡동),GS칼텍스,일반,,1541.74,1375.19,1200.0
A0009913,2020년,01월,서울,서초구,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),SK에너지,일반,1904.23,1665.97,1568.23,
A0000421,2020년,01월,서울,영등포구,(주)강서오일,서울 영등포구 도신로 151,현대오일뱅크,일반,,1526.42,1359.0,939.0
A0009413,2020년,01월,서울,광진구,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,일반,1845.0,1598.0,1468.0,
A0000917,2020년,01월,서울,서초구,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),현대오일뱅크,일반,1777.06,1592.06,1448.03,1250.0
A0004458,2020년,01월,서울,광진구,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),S-OIL,셀프,1679.35,1543.55,1363.55,
A0000690,2020년,01월,서울,은평구,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GS칼텍스,셀프,,1535.42,1368.42,
A0009905,2020년,01월,서울,서초구,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),SK에너지,일반,2169.0,1999.0,1884.03,
A0009408,2020년,01월,서울,광진구,강평주유소,서울 광진구 아차산로 616 (광장동),SK에너지,일반,1797.68,1589.77,1405.74,1058.0
A0009919,2020년,01월,서울,서초구,현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,현대오일뱅크,일반,1749.0,1588.0,1419.0,1190.0
A0000704,2020년,01월,서울,은평구,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),자가상표,일반,,1601.33,1467.17,
A0008273,2020년,01월,서울,관악구,유정주유소,서울 관악구 남부순환로 1691 (봉천동),SK에너지,일반,,1638.0,1498.0,1261.0
A0000411,2020년,01월,서울,동작구,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),GS칼텍스,셀프,,1581.26,1429.97,
A0001119,2020년,01월,서울,관악구,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,GS칼텍스,일반,,1591.61,1477.9,
A0009394,2020년,01월,서울,성동구,KLP제2주유소,서울 성동구 동일로 249 (송정동),현대오일뱅크,셀프,,1540.9,1360.9,
A0001129,2020년,01월,서울,관악구,현대오일뱅크(주)직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),현대오일뱅크,셀프,1744.0,1574.0,1389.0,
A0009392,2020년,01월,서울,성동구,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),GS칼텍스,일반,2265.0,1968.0,1815.0,
A0000629,2020년,01월,서울,은평구,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),GS칼텍스,셀프,1734.74,1534.74,1387.74,1017.74
A0000771,2020년,01월,서울,관악구,현대오일뱅크(주)직영 문성골주유소,서울 관악구 문성로 97 (신림동),현대오일뱅크,일반,,1674.45,1477.68,1200.0
A0000983,2020년,01월,서울,양천구,형산석유(주)원주유소,서울 양천구 남부순환로 408,현대오일뱅크,일반,,1523.13,1351.9,1005.0
A0001089,2020년,01월,서울,관악구,현대주유소,서울 관악구 난곡로 108 (신림동),현대오일뱅크,일반,,1594.48,1424.48,
A0009361,2020년,01월,서울,성동구,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),S-OIL,셀프,,1541.42,1361.42,
A0006665,2020년,01월,서울,광진구,(주)장수주유소,서울 광진구 동일로 266 (군자동),SK에너지,셀프,,1575.0,1383.77,
A0000630,2020년,01월,서울,은평구,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),GS칼텍스,셀프,1679.42,1529.42,1382.0,1000.0
A0009357,2020년,01월,서울,광진구,(주)창원CW,서울 광진구 광나루로 460 (화양동),SK에너지,셀프,1992.42,1602.42,1433.19,
A0001146,2020년,01월,서울,금천구,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),SK에너지,셀프,,1580.16,1402.87,1150.0
A0000501,2020년,01월,서울,강서구,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),현대오일뱅크,일반,,1562.48,1384.74,
A0009916,2020년,01월,서울,서초구,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,셀프,,1603.77,1443.77,
A0000230,2020년,01월,서울,용산구,현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),SK에너지,일반,2069.0,1779.0,1659.0,
A0009232,2020년,01월,서울,동대문구,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),GS칼텍스,셀프,,1563.19,1385.13,
A0000279,2020년,01월,서울,영등포구,선유도주유소,서울 영등포구 양평로 141 (양평동5가),S-OIL,셀프,,1576.42,1429.0,
A0009218,2020년,01월,서울,동대문구,(주)파랑에너지,서울 동대문구 망우로 126,GS칼텍스,셀프,1792.1,1575.26,1376.77,
A0000173,2020년,01월,서울,마포구,에스에스오토셀프,서울 마포구 서강로 76 (창전동),SK에너지,셀프,2070.29,1909.97,1726.29,1336.1
A0009184,2020년,01월,서울,동대문구,능주주유소,서울 동대문구 청계천로 431 (신설동),SK에너지,일반,,1739.52,1558.61,
A0000290,2020년,01월,서울,영등포구,현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,현대오일뱅크,셀프,1718.03,1548.35,1378.35,
A0000305,2020년,01월,서울,영등포구,현대오일뱅크㈜직영 선유로셀프주유소,서울 영등포구 선유로 114(양평동1가),SK에너지,셀프,,1598.42,1479.32,
A0009210,2020년,01월,서울,동대문구,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,셀프,1798.0,1604.81,1404.16,
A0009211,2020년,01월,서울,동대문구,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),GS칼텍스,셀프,,1636.1,1441.9,
A0000169,2020년,01월,서울,마포구,성산대교셀프주유소,서울 마포구 성산로 144,SK에너지,셀프,2059.0,1859.0,1759.0,1547.39
A0000443,2020년,01월,서울,영등포구,성락주유소,서울 영등포구 가마산로 414 (신길동),S-OIL,셀프,,1547.71,1368.35,
A0009222,2020년,01월,서울,동대문구,동서울고속주유소,서울 동대문구 한천로 414,현대오일뱅크,셀프,,1555.0,1375.97,
A0000328,2020년,01월,서울,영등포구,현대오일뱅크(주)직영 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),GS칼텍스,일반,2046.0,1976.0,1822.0,
A0009226,2020년,01월,서울,동대문구,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),SK에너지,일반,,1562.23,1384.48,1200.0
A0000139,2020년,01월,서울,마포구,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),SK에너지,일반,,1627.0,1477.0,
A0000120,2020년,01월,서울,마포구,마포주유소,서울 마포구 마포대로 186 (공덕동),S-OIL,일반,,1898.0,1765.0,1299.0
A0032673,2020년,01월,서울,마포구,용강주유소,서울 마포구 토정로 258,S-OIL,일반,,1677.0,1499.0,
A0009182,2020년,01월,서울,동대문구,(주)경동주유소,서울 동대문구 이문로 191 (이문동),SK에너지,셀프,,1574.0,1399.48,1150.0
A0000585,2020년,01월,서울,서대문구,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),현대오일뱅크,일반,,1556.23,1391.06,1200.0
A0009600,2020년,01월,서울,도봉구,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),GS칼텍스,셀프,1682.1,1528.03,1382.55,1000.0
A0000744,2020년,01월,서울,서대문구,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,셀프,,1595.77,1433.19,
A0009599,2020년,01월,서울,도봉구,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,GS칼텍스,셀프,1682.1,1528.03,1382.55,1000.0
A0000206,2020년,01월,서울,용산구,(주)남경주유소,서울 용산구 녹사평대로11길 24,SK에너지,일반,2198.0,1979.0,1817.0,1316.0
A0032674,2020년,01월,서울,도봉구,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),S-OIL,셀프,,1544.48,1381.45,1100.0
A0009254,2020년,01월,서울,동대문구,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,셀프,,1595.77,1426.74,1150.0
A0000178,2020년,01월,서울,서대문구,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,셀프,,1557.03,1393.0,
A0000623,2020년,01월,서울,서대문구,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,현대오일뱅크,셀프,,1555.58,1393.0,
A0009682,2020년,01월,서울,도봉구,현대오일뱅크㈜직영 도봉현대셀프주유소,서울 도봉구 도봉로 941 (도봉동),SK에너지,셀프,,1547.06,1379.13,
A0000287,2020년,01월,서울,영등포구,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),SK에너지,일반,2029.0,1936.77,1776.77,1340.0
A0000312,2020년,01월,서울,영등포구,현대오일뱅크㈜직영 여의도현대주유소,서울 영등포구 의사당대로 154 (여의도동),SK에너지,일반,2129.0,1999.0,1856.93,
A0009669,2020년,01월,서울,도봉구,현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,SK에너지,일반,1983.58,1663.58,1527.45,1173.19
A0000159,2020년,01월,서울,마포구,청원주유소,서울 마포구 월드컵북로 113 (성산동),현대오일뱅크,셀프,2078.0,1638.0,1498.0,
A0009629,2020년,01월,서울,도봉구,한이에너지(주)KLP제1주유소,서울 도봉구 도봉로 596 (창동),현대오일뱅크,일반,,1518.55,1350.16,
A0009537,2020년,01월,서울,도봉구,정다운셀프주유소,서울 도봉구 도봉로 635,SK에너지,셀프,,1529.55,1369.97,
A0009143,2020년,01월,서울,동대문구,배봉로주유소,서울 동대문구 서울시립대로 108,현대오일뱅크,셀프,,1556.77,1379.03,
